44.4,0.075,0.258,0.427,0.587,0,5.59
41.7,0.08,0.266,0.462,0.164,0,5.59
38.3,0.087,0.27,0.448,0.002,0,5.59
36.3,0.094,0.271,0.416,0.039,0,5.59
37.7,0.101,0.264,0.382,0.367,0,4.15
38,0.105,0.256,0.35,0.76,0,4.15
37.7,0.108,0.244,0.342,0.683,0,4.15
36.6,0.108,0.218,0.333,0.248,0,4.15
35.4,0.105,0.194,0.32,0.01,0,4.15
35.3,0.1,0.179,0.333,0.016,0,4.15
39,0.09,0.176,0.312,0.28,0,4.15
43.5,0.079,0.181,0.333,0.721,0,4.15
45.6,0.072,0.189,0.284,0.764,0,4.15
46.6,0.065,0.198,0.304,0.347,0.002,4.15
46.9,0.058,0.205,0.281,0.031,0.009,4.15
47.2,0.059,0.202,0.261,0.004,0.019,4.15
47.4,0.063,0.187,0.242,0.2,0.025,4.15
47.2,0.065,0.168,0.227,0.658,0.026,4.15
47.7,0.062,0.155,0.22,0.824,0.024,4.15
48.1,0.061,0.149,0.202,0.457,0.016,4.15
50.9,0.064,0.141,0.189,0.069,0.007,4.15
51.5,0.065,0.138,0.187,0,0,4.15
49.9,0.067,0.137,0.18,0.13,0,4.15
47.7,0.068,0.138,0.167,0.576,0,4.15
45.2,0.067,0.137,0.198,0.857,0,4.15
42.3,0.071,0.138,0.22,0.57,0,4.15
38.9,0.075,0.14,0.228,0.126,0,4.15
37.3,0.077,0.141,0.214,0,0,4.15
38.3,0.08,0.147,0.198,0.075,0.018,3.85
38.6,0.088,0.154,0.187,0.482,0,3.85
38.5,0.091,0.161,0.193,0.86,0,3.85
37.7,0.085,0.163,0.166,0.68,0,3.85
36.3,0.072,0.153,0.168,0.203,0,3.85
36.2,0.06,0.142,0.167,0.003,0,3.85
39.5,0.051,0.141,0.33,0.036,0,3.85
44.8,0.047,0.15,0.194,0.383,0,3.85
46.7,0.053,0.172,0.184,0.833,0,3.85
47.2,0.058,0.205,0.19,0.778,0.005,3.85
47.4,0.059,0.244,0.19,0.298,0.03,3.85
47.5,0.057,0.276,0.181,0.015,0.06,3.85
47.3,0.053,0.291,0.193,0.013,0.079,3.85
46.8,0.051,0.296,0.222,0.287,0.093,3.85
47,0.051,0.292,0.213,0.778,0.083,3.85
46.9,0.058,0.284,0.205,0.857,0.046,3.85
50,0.067,0.279,0.214,0.408,0.016,3.85
51.4,0.077,0.281,0.213,0.042,0.001,3.85
49.9,0.088,0.291,0.247,0.002,0,3.85
48,0.097,0.308,0.254,0.199,0,3.85
45.9,0.106,0.331,0.272,0.698,0,3.85
42.9,0.114,0.345,0.272,0.909,0,3.85
39.6,0.121,0.353,0.284,0.526,0,3.85
37.3,0.12,0.356,0.299,0.087,0,3.85
38.4,0.116,0.348,0.303,0,0.062,3.88
38.6,0.105,0.331,0.299,0.125,0,3.88
38.5,0.094,0.306,0.271,0.601,0,3.88
37.5,0.092,0.288,0.283,0.93,0,3.88
36.2,0.091,0.272,0.275,0.645,0,3.88
36,0.093,0.261,0.262,0.153,0,3.88
39.3,0.097,0.26,0.289,0,0,3.88
44.3,0.105,0.265,0.254,0.069,0,3.88
46.2,0.11,0.272,0.254,0.493,0,3.88
46.8,0.104,0.273,0.239,0.919,0.004,3.88
46.8,0.093,0.268,0.26,0.756,0.028,3.88
47.1,0.082,0.263,0.24,0.24,0.058,3.88
46.9,0.075,0.254,0.226,0.005,0.075,3.88
46.7,0.071,0.245,0.253,0.031,0.077,3.88
46.9,0.072,0.241,0.26,0.384,0.062,3.88
47.1,0.075,0.241,0.251,0.876,0.042,3.88
50,0.079,0.244,0.219,0.85,0.018,3.88
51.2,0.082,0.254,0.237,0.344,0.002,3.88
49.8,0.085,0.266,0.227,0.021,0,3.88
47.8,0.089,0.279,0.211,0.01,0,3.88
45.4,0.092,0.288,0.238,0.28,0,3.88
42.3,0.093,0.291,0.217,0.804,0,3.88
38.9,0.097,0.289,0.21,0.92,0,3.88
37,0.104,0.286,0.202,0.46,0,3.88
38.1,0.112,0.279,0.198,0.054,0.049,4.86
38.6,0.118,0.273,0.18,0.001,0,4.86
38.4,0.126,0.268,0.171,0.189,0,4.86
37.3,0.131,0.271,0.146,0.71,0,4.86
36,0.135,0.275,0.152,0.961,0,4.86
35.9,0.145,0.282,0.141,0.581,0,4.86
39.3,0.16,0.294,0.141,0.106,0,4.86
44.5,0.169,0.316,0.17,0,0,4.86
